message,label
normal	I'm not sure, I was just checking out what was happening around the area
normal	That means you got an A in epi, she.s fine. She.s here now.
normal	Call me. I m unable to cal. Lets meet bhaskar, and deep
normal	Can you please ask macho what his price range is, does he want something new or used plus it he only interfued in the blackberry bold  &lt;#&gt;  or any bb
normal	Damn, poor zac doesn't stand a chance
fraud	Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622
"fraud	You can stop further club tones by replying ""STOP MIX"" See my-tone.com/enjoy. html for terms. Club tones cost GBP4.50/week. MFL", PO Box 1146 MK45 2WT (2/3)
normal	We are hoping to get away by 7, from Langport. You still up for town tonight?
normal	Probably not, still going over some stuff here
normal	What are you doing in langport? Sorry, but I'll probably be in bed by 9pm. It sucks being ill at xmas! When do you and go2sri lanka? 
normal	Honey ? Sweetheart ? Darling ? Sexy buns ? Sugar plum ? Loverboy ? I miss you, boytoy ... *smacks your ass* Did you go to the gym too ?
normal	I get out of class in bsn in like  &lt;#&gt;  minutes, you know where advising is?
normal	Hello, As per request from  &lt;#&gt;  Rs.5 has been transfered to you
normal	How is my boy? No sweet words left for me this morning ... *sighs* ... How goes you day, my love ? Did you start your studying?
normal	Sorry pa, i dont knw who ru pa?
normal	Oh, i will get paid. The most outstanding one is for a commercial i did for Hasbro...in AUGUST! They made us jump through so many hoops to get paid. Still not.
normal	I am late,so call you tomorrow morning.take care sweet dreams....u and me...ummifying...bye.
fraud	Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar
normal	Yeah why not, is the gang all ready
normal	Aldrine, rakhesh ex RTM here.pls call.urgent.
normal	I guess you could be as good an excuse as any, lol.
normal	Isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed &amp; irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. I jst did it.. Takecare..:) GOODMORNING
normal	4 tacos + 1 rajas burrito, right?
normal	It‘s £6 to get in, is that ok?
normal	Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN.
normal	Nah, Wednesday. When should I bring the mini cheetos bag over?
normal	Aight, let me know when you're gonna be around usf
normal	Buzz! Hey, my Love ! I think of you and hope your day goes well. Did you sleep in ? I miss you babe. I long for the moment we are together again*loving smile*
normal	Haha... Sounds crazy, dunno can tahan anot...
fraud	Someone U know has asked our dating service 2 contact you! Cant guess who? CALL 09058095107 NOW all will be revealed. POBox 7, S3XY 150p 
normal	Sir Goodmorning, Once free call me.
fraud	Claim a 200 shopping spree, just call 08717895698 now! Have you won! MobStoreQuiz10ppm
normal	Dear friends, sorry for the late information. Today is the birthday of our loving Ar.Praveesh. for more details log on to face book and see. Its his number + &lt;#&gt; . Dont miss a delicious treat.
fraud	Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply
"normal	Are you sure you don't mean ""get here"," we made you hold all the weed"""
"normal	Short But Cute: ""Be a good person"," but dont try to prove it.."" .Gud noon...."
normal	It's ok, at least armand's still around
normal	Aight, can you text me the address?
normal	Not yet chikku..k, then wat abt tht guy did he stopped irritating or msging to u..
normal	Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody.
normal	Goodmorning,my grandfather expired..so am on leave today.
normal	Sure, I'll see if I can come by in a bit
normal	Erm … ill pick you up at about 6.45pm. That'll give enough time to get there, park and that.
normal	chile, please! It's only a  &lt;DECIMAL&gt;  hour drive for me. I come down all the time and will be subletting feb-april for audition season.
normal	Yeah that's what I thought, lemme know if anything's goin on later
fraud	Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play £250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088
normal	Dont worry, 1 day very big lambu ji vl come..til then enjoy batchlor party:-)
normal	No! But we found a diff farm shop to buy some cheese. On way back now, can i call in?
fraud	Win the newest Harry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!
normal	Customer place, i wil cal u sir.
fraud	Oh my god! I've found your number again! I'm so glad, text me back xafter this msgs cst std ntwk chg £1.50
normal	THATS ALRITE GIRL, U KNOW GAIL IS NEVA WRONG!!TAKE CARE SWEET AND DONT WORRY.C U L8TR HUN!LOVE Yaxxx
normal	Theoretically yeah, he could be able to come
normal	Alright we're hooked up, where you guys at
normal	not that I know of, most people up here are still out of town
normal	Happy or sad ," one thing about past is- ""Its no more"" GOOD MORNING :-):-)."
normal	Sorry sir, i will call you tomorrow.  senthil.hsbc
"normal	Short But Cute: ""Be a good person"," but dont try to prove it.."" .Gud noon...."
normal	Same, I'm at my great aunts anniversary party in tarpon springs
fraud	Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/HF8
normal	Right on brah, see you later
normal	Playin space poker, u?
normal	Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?
normal	Until 545 lor... Ya, can go 4 dinner together...
normal	If e timing can, then i go w u lor...
normal	Night night, see you tomorrow
normal	Hey, I missed you tm of last night as my phone was on the charge ... *smiles* ... I am meeting a friend shortly
normal	Whatever, juliana. Do whatever you want.
normal	Hello. Sort of out in town already. That . So dont rush home, I am eating nachos. Will let you know eta.
normal	Dizzamn, aight I'll ask my suitemates when I get back
normal	Nimbomsons. Yep phone knows that one. Obviously, cos thats a real word
fraud	This is the 2nd time we have tried to contact u. U have won the £400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate
fraud	U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at £350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS
normal	Yes, princess. Are you going to make me moan?
normal	[…] anyway, many good evenings to u! s
normal	Cool, I'll text you in a few
normal	Sorry vikky, i'm Watching olave mandara movie kano in trishul theatre wit my frnds..
normal	Yes, my reg is  Ciao!
fraud	Thanks for your ringtone order, reference number X49.Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182
normal	Ya ok, then had dinner?
normal	Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was
fraud	You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7 
normal	Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola
fraud	Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP.
normal	Hey doc pls I want to get nice t shirt for my hubby nice fiting ones my budget is  &lt;#&gt; k help pls I will load d card abi hw,keep me posted luv. 2 mj
normal	Hey , is * rite u put »10 evey mnth is that all?
fraud	HOT LIVE FANTASIES call now 08707500020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call
normal	Yo, you gonna still be in stock tomorrow/today? I'm trying to get a dubsack
normal	I'll see, but prolly yeah
normal	Sure thing big man. i have hockey elections at 6, shouldn‘t go on longer than an hour though
normal	Babe! How goes that day ? What are you up to ? I miss you already, my Love ... * loving kiss* ... I hope everything goes well.
normal	Cool, want me to go to kappa or should I meet you outside mu
fraud	SPJanuary Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)
normal	Sorry, I'll call later
"normal	""Its Ur luck to Love someone. Its Ur fortune to Love the one who Loves U. But"," its a miracle to Love a person who can't Love anyone except U..."" Gud nyt..."
normal	Haven't found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ...
normal	Its ok, called mom instead have fun
normal	Sorry, I'll call later
normal	Ok da, i already planned. I wil pick you.
fraud	Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or £10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+
normal	Sorry, I'll call later in meeting
normal	Hmm ok, i'll stay for like an hour cos my eye is really sore!
normal	Well the general price is  &lt;#&gt; /oz, let me know if/when/how much you want
normal	Sorry, I'll call later
fraud	Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX
fraud	Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply
normal	Get the door, I'm here
normal	Lets use it next week, princess :)
normal	Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN.
"normal	""The world suffers a lot... Not because of the violence of bad people. But because of the silence of good people!""", Gud night....
normal	Ok thats cool. Its , just off either raglan rd or edward rd. Behind the cricket ground. Gimme ring when ur closeby see you tuesday.
normal	Sez, hows u & de arab boy? Hope u r all good give my love 2 evry1 love ya eshxxxxxxxxxxx
normal	The LAY MAN! Just to let you know you are missed and thought off. Do have a great day. And if you can send me bimbo and ugo's numbers, ill appreciate. Safe
normal	Aight, I'm chillin in a friend's room so text me when you're on the way
fraud	accordingly. I repeat, just text the word ok on your mobile phone and send
normal	Send ur birthdate with month and year, I will tel u ur LIFE PARTNER'S name. and the method of calculation. Reply must.
normal	Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat... 
normal	Kind of. Just missed train cos of asthma attack, nxt one in half hr so driving in. not sure where to park.
fraud	URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !
normal	Wn u r hurt by d prsn who s close 2 u, do fight wit dem. Coz somtimes dis fight saves a relation bt being quiet leaves nothin in a relation.. Gud eveB-)
normal	Science tells that chocolate will melt under the sunlight. Please don't walk under the sunlight. BCoz,I don't want to loss a sweet friend.
normal	Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there.
normal	I wasn't well babe, i have swollen glands at my throat ... What did you end up doing ?
normal	I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later.
normal	K, jason says he's gonna be around so I'll be up there around  &lt;#&gt;
normal	Now u sound like manky scouse boy steve,like! I is travelling on da bus home.wot has u inmind 4 recreation dis eve?
normal	Fyi I'm taking a quick shower, be at epsilon in like  &lt;#&gt;  min
normal	Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng
normal	Fun fact: although you would think armand would eventually build up a tolerance or some shit considering how much he smokes, he gets fucked up in like 2 hits
normal	Sorry, I can't help you on this.
normal	HELLOGORGEOUS, HOWS U? MY FONE WAS ON CHARGE LST NITW WEN U TEXD ME. HOPEU AD A NICE WKEND AS IM SURE U DID LOOKIN 4WARD 2 C-IN U 2MRW LUV JAZ
fraud	Our dating service has been asked 2 contact U by someone shy! CALL 09058091870 NOW all will be revealed. POBox84, M26 3UZ 150p
normal	Night sweet, sleep well! I've just been to see The Exorcism of Emily Rose and may never sleep again! Hugs and snogs! 
normal	I can't right this second, gotta hit people up first
fraud	If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy
normal	Doing nothing, then u not having dinner w us?
normal	see you then, we're all christmassy here!
normal	K I'm ready,  &lt;#&gt; ?
normal	Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!
normal	Can you tell Shola to please go to college of medicine and visit the academic department, tell the academic secretary what the current situation is and ask if she can transfer there. She should ask someone to check Sagamu for the same thing and lautech. Its vital she completes her medical education in Nigeria. Its less expensive much less expensive. Unless she will be getting citizen rates in new zealand.
normal	Good FRIENDS CaRE for each Other.. CLoSE Friends UNDERSTaND each Other... and TRUE Friends STaY forever beyond words, beyond time. Gud ni8
normal	Sorry, I'll call later  &lt;#&gt; mins
normal	Yeah I should be able to, I'll text you when I'm ready to meet up
normal	 says that he's quitting at least5times a day so i wudn't take much notice of that. Nah, she didn't mind. Are you gonna see him again? Do you want to come to taunton tonight? U can tell me all about !
normal	When you get free, call me
normal	2 celebrate my bday, y else?
normal	Awesome, be there in a minute
"normal	If you want to mapquest it or something look up ""usf dogwood drive""", that's the tiny street where the parking lot is
normal	Thanks again for your reply today. When is ur visa coming in. And r u still buying the gucci and bags. My sister things are not easy, uncle john also has his own bills so i really need to think about how to make my own money. Later sha.
normal	Nothing, smsing u n xy lor. Sorry lor da guys neva c u in person but they sort of know u lor. So u wan 2 meet them xy ask me 2 bring u along 4 our next meeting.
normal	Lemme know when I can swing by and pick up, I'm free basically any time after 1 all this semester
normal	Y cant u try new invention to fly..i'm not joking.,
normal	What do u reckon as need 2 arrange transport if u can't do it, thanks
normal	LOL .. *grins* .. I'm not babe, but thanks for thinking of me!
fraud	Latest Nokia Mobile or iPOD MP3 Player +£400 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.£1,50/Mtmsgrcvd18+
normal	Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*
normal	Sure, whenever you show the fuck up &gt;:(
normal	Just got part Nottingham - 3 hrs 63miles. Good thing i love my man so much, but only doing 40mph. Hey ho
normal	Hiya, probably coming home * weekend after next
normal	Haha, my friend tyler literally just asked if you could get him a dubsack
normal	Come around  &lt;DECIMAL&gt; pm vikky..i'm otside nw, il come by tht time
normal	Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)
fraud	Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+
fraud	For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk
normal	I'll see if I can swing by in a bit, got some things to take care of here firsg
normal	Carlos is down but I have to pick it up from him, so I'll swing by usf in a little bit
"normal	""Hey j! r u feeling any better"," hopeSo hunny. i amnow feelin ill & ithink i may have tonsolitusaswell! damn iam layin in bedreal bored. lotsof luv me xxxx"""
normal	I need an 8th but I'm off campus atm, could I pick up in an hour or two?
normal	Sorry, I'll call later In meeting.
normal	Received, understood n acted upon!
normal	Got hella gas money, want to go on a grand nature adventure with galileo in a little bit?
normal	I'm in a meeting, call me later at
normal	Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody.
normal	K, I'll work something out
normal	I didnt get ur full msg..sometext is missing, send it again
normal	Probably not, I'm almost out of gas and I get some cash tomorrow
fraud	Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07099833605 to re-schedule. Ref:9280114
normal	That's cool he'll be here all night, lemme know when you're around
normal	Haha yeah, 2 oz is kind of a shitload
normal	Alright we'll bring it to you, see you in like  &lt;#&gt;  mins
normal	Didn't try, g and I decided not to head out
normal	By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies
fraud	URGENT! Your Mobile No 07808726822 was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU
normal	Okey dokey, i‘ll be over in a bit just sorting some stuff out.
fraud	WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk
normal	Did you say bold, then torch later. Or one torch and 2bold?
normal	Hey. What happened? U switch off ur cell d whole day. This isnt good. Now if u do care, give me a call tomorrow.
normal	K will do, addie &amp; I are doing some art so I'll be here when you get home
normal	Yup. Anything lor, if u dun wan it's ok...
normal	I'm home, my love ... If your still awake ... *loving kiss*
normal	There'll be a minor shindig at my place later tonight, you interested?
normal	Not for possession, especially not first offense
normal	Nt only for driving even for many reasons she is called BBD..thts it chikku, then hw abt dvg cold..heard tht vinobanagar violence hw is the condition..and hw ru ? Any problem?
normal	When you just put in the + sign, choose my number and the pin will show. Right?
normal	If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to
normal	Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com
normal	So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas
normal	Call me, i am senthil from hsbc.
normal	Especially since i talk about boston all up in my personal statement, lol! I woulda changed that if i had realized it said nyc! It says boston now.
fraud	Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or £10,000 cash await collection
normal	Thanx. Yup we coming back on sun. Finish dinner going back 2 hotel now. Time flies, we're tog 4 exactly a mth today. Hope we'll haf many more mths to come...
normal	its cool but tyler had to take off so we're gonna buy for him and drop it off at his place later tonight. Our total order is a quarter, you got enough?
normal	The guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me. I'm nervous because of course now he may have my address. Should i call his boss and tell him, knowing this may get him fired?
normal	Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself
normal	Honey, can you pls find out how much they sell Predicte in Nigeria. And how many times can it be used. Its very important to have a reply before monday
normal	fyi I'm at usf now, swing by the room whenever
normal	Haha, just what I was thinkin
normal	How long before you get reply, just defer admission til next semester
fraud	New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!
normal	OH RITE. WELL IM WITH MY BEST MATE PETE, WHO I WENT OUT WITH 4 A WEEK+ NOW WERE 2GEVA AGAIN. ITS BEEN LONGER THAN A WEEK.
normal	Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel...
normal	Awesome, that gonna be soon or later tonight?
normal	Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent.
"normal	""Response"" is one of d powerful weapon 2 occupy a place in others 'HEART'... So"," always give response 2 who cares 4 U""... Gud night..swt dreams..take care"
normal	Oh! Shit," I thought that was your trip! Loooooool ... That just makes SO much more sense now ... *grins* and the sofa reference was ... The ""sleep on a couch"" link you sent me ... Wasn't that how you went on your trip ? Oh ... And didn't your babe go with you for that celebration with your rents?"
normal	Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?
normal	I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?
normal	Haha, that was the first person I was gonna ask
fraud	ou are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18
normal	I'm in solihull, | do you want anything?
fraud	Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.
normal	Just dropped em off, omw back now
fraud	This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate
normal	G says you never answer your texts, confirm/deny
normal	Its so common hearin How r u? Wat r u doing? How was ur day? So let me ask u something different. Did u smile today? If not, do it now.... Gud evng.
normal	Oh yes, why is it like torture watching england?
fraud	Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!
fraud	Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service
normal	Good morning, my boytoy! How's those yummy lips ? Where's my sexy buns now ? What do you do ? Do you think of me ? Do you crave me ? Do you need me ?
normal	Hey babe, how's it going ? Did you ever figure out where your going for New Years ?
normal	Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill
fraud	Welcome to Select, an O2 service with added benefits. You can now call our specially trained advisors FREE from your mobile by dialling 402.
normal	Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it.
normal	What i mean was i left too early to check, cos i'm working a 9-6.
normal	A few people are at the game, I'm at the mall with iouri and kaila
normal	We made it! Eta at taunton is 12:30 as planned, hope that‘s still okday?! Good to see you! :-xx
"normal	""HEY KATE"," HOPE UR OK... WILL GIVE U A BUZ WEDLUNCH. GO OUTSOMEWHERE 4 ADRINK IN TOWN..CUD GO 2WATERSHD 4 A BIT? PPL FROMWRK WILL BTHERE. LOVE PETEXXX."""
normal	Just looked it up and addie goes back Monday, sucks to be her
normal	Hmph. Go head, big baller.
normal	Nope. Since ayo travelled, he has forgotten his guy
normal	My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar
normal	By the way, 'rencontre' is to meet again. Mountains dont....
normal	Uncle G, just checking up on you. Do have a rewarding month
normal	It's cool, we can last a little while. Getting more any time soon?
normal	* Was really good to see you the other day dudette, been missing you!
normal	Dunno, my dad said he coming home 2 bring us out 4 lunch. Yup i go w u lor. I call u when i reach school lor...
normal	We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us
normal	Geeeee ... Your internet is really bad today, eh ?
normal	Sorry, I'll call you  later. I am in meeting sir.
fraud	This is the 2nd attempt to contract U, you have won this weeks top prize of either £1000 cash or £200 prize. Just call 09066361921
normal	Well, i'm glad you didn't find it totally disagreeable ... Lol
"normal	""Keep ur problems in ur heart", b'coz nobody will fight for u. Only u &amp; u have to fight for ur self &amp; win the battle. -VIVEKANAND- G 9t.. SD..
normal	Yeah, give me a call if you've got a minute
normal	Good morning, im suffering from fever and dysentry ..will not be able to come to office today.
normal	St andre, virgil's cream
normal	My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt...
normal	Aight, call me once you're close
normal	The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL
normal	Oops I did have it,  &lt;#&gt; ?
normal	Hi Chikku, send some nice msgs
normal	He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary
normal	After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...
normal	To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola
normal	Happy new year to u and ur family...may this new year bring happiness , stability and tranquility to ur vibrant colourful life:):)
normal	Like  &lt;#&gt; , same question
normal	Sir, I need Velusamy sir's date of birth and company bank facilities details.
normal	I‘ve got some salt, you can rub it in my open wounds if you like!
normal	Aight, text me tonight and we'll see what's up
normal	Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u 
normal	Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*
normal	Fuuuuck I need to stop sleepin, sup
normal	Sorry, I'll call later
normal	It's wylie, you in tampa or sarasota?
fraud	Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic 
normal	I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop
normal	Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)
normal	Nope, I'm still in the market
normal	Jay wants to work out first, how's 4 sound?
normal	Gud gud..k, chikku tke care.. sleep well gud nyt
normal	K I'm leaving soon, be there a little after 9
normal	As usual..iam fine, happy &amp; doing well..:)
"normal	""ER"," ENJOYIN INDIANS AT THE MO..yeP. SaLL gOoD HehE ;> hows bout u shexy? Pete Xx"""
fraud	If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy 
normal	Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over.
normal	Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ...
normal	Vikky, come around  &lt;TIME&gt; ..
normal	And how you will do that, princess? :)
normal	Yeah, probably here for a while
fraud	URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No:
normal	I can. But it will tell quite long, cos i haven't finish my film yet...
normal	Jolly good! By the way,  will give u tickets for sat eve 7.30. Speak before then x
normal	yeah, that's what I was thinking
normal	K, fyi I'm back in my parents' place in south tampa so I might need to do the deal somewhere else
normal	Thanks, I'll keep that in mind
normal	Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards.
normal	Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)
normal	Sir, waiting for your letter.
normal	Neither [in sterm voice] - i'm studying. All fine with me! Not sure the  thing will be resolved, tho. Anyway. Have a fab hols
normal	Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)
normal	I think your mentor is , but not 100 percent sure.
normal	Lol, oh you got a friend for the dog ?
normal	Ok., is any problem to u frm him? Wats matter?
normal	K I'll head out in a few mins, see you there
fraud	Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or £250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022
normal	I can make it up there, squeezed  &lt;#&gt;  bucks out of my dad
normal	All done, all handed in. Don't know if mega shop in asda counts as celebration but thats what i'm doing!
normal	Daddy, shu shu is looking 4 u... U wan me 2 tell him u're not in singapore or wat?
normal	Hi elaine, is today's meeting confirmed?
normal	Sorry, I'll call later
normal	If you can make it any time tonight or whenever you can it's cool, just text me whenever you're around
normal	By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x
normal	I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!
normal	And that's fine, I got enough bud to last most of the night at least
normal	aight we can pick some up, you open before tonight?
fraud	Latest News! Police station toilet stolen, cops have nothing to go on!
normal	Sorry, I'll call later
normal	Perhaps * is much easy give your account identification, so i will tomorrow at UNI
normal	Machan you go to gym tomorrow,  i wil come late goodnight.
normal	It‘s reassuring, in this crazy world.
normal	Just making dinner, you ?
normal	By the way, i've put a skip right outside the front of the house so you can see which house it is. Just pull up before it.
normal	Total disappointment, when I texted you was the craziest shit got :(
normal	Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. 
normal	I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop
normal	I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready
normal	No, I was trying it all weekend ;V
normal	Cool, what time you think you can get here?
normal	Sorry, I'll call later
fraud	REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode
fraud	This is the 2nd time we have tried 2 contact u. U have won the £750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.
normal	Pity, * was in mood for that. So...any other suggestions?
fraud	hello sir, you have won 10000 INR to get money please provide your bank account number
fraud	hello sir, we are from your bank have you fill the application form for credit card. verify your document.
